knr,Kjonn,Alder,ContentsCode,aar,knavn,Alle Næringer,"Jordbruk, Skogbrug og Fiske",Bergverksdrift og Utvinning,Industri,"Elektrisitet, Vann og Renovasjon",Bygge- og Anleggsvirksomhet,"Varehandel, Reperasjon av Motorvogner",Transport og Lagring,Overnattings- og Servicevirksomhet,Informasjon og Kommunikasjon,Finansiering og Forsikring,"Teknisk Tjenesteyting, Eiendomsdrift",Forretningsmessig Tjenesteyting,"Off.Adm, Forsvar, Sosialforsikring",Undervisning,Helse- og Sosialtjenester,Personlig Tjenesteyting,Uoppgitt
1149,Begge Kjønn,15-74,SysselsatteArb,2009,Karmøy,14666,462,134,2806,101,1442,1968,1388,255,146,110,415,445,367,1244,2885,404,94
1149,Begge Kjønn,15-74,SysselsatteArb,2010,Karmøy,14591,447,161,2571,102,1532,2080,1424,257,157,114,416,472,379,1199,2807,372,101
1149,Begge Kjønn,15-74,SysselsatteArb,2011,Karmøy,14781,378,172,2475,105,1682,2149,1346,281,133,99,432,563,390,1154,2950,384,88
1149,Begge Kjønn,15-74,SysselsatteArb,2012,Karmøy,14989,369,187,2408,107,1775,2144,1365,285,160,100,414,671,448,1162,2929,370,95
1149,Begge Kjønn,15-74,SysselsatteArb,2013,Karmøy,15239,357,209,2367,128,1876,2030,1470,336,158,97,444,628,466,1197,3002,371,103
1149,Begge Kjønn,15-74,SysselsatteArb,2014,Karmøy,15457,337,246,2353,112,1907,2005,1495,343,135,81,495,616,474,1244,3162,356,96
1149,Begge Kjønn,15-74,SysselsatteArb,2015,Karmøy,15066,340,194,2302,105,1811,1983,1441,259,141,75,473,586,427,1197,3151,416,165
1149,Begge Kjønn,15-74,SysselsatteArb,2016,Karmøy,15287,367,196,2313,110,1808,2001,1362,265,155,77,448,727,476,1213,3167,437,165
1149,Begge Kjønn,15-74,SysselsatteArb,2017,Karmøy,15728,347,263,2426,109,1907,1991,1407,265,163,72,461,810,469,1257,3197,426,158
1149,Begge Kjønn,15-74,SysselsatteArb,2018,Karmøy,15866,358,300,2419,114,1807,1951,1431,315,180,67,462,892,437,1294,3297,403,139
1149,Begge Kjønn,15-74,SysselsatteArb,2019,Karmøy,15978,329,307,2476,123,1891,1939,1430,280,186,64,480,861,476,1318,3280,409,129
1149,Begge Kjønn,15-74,SysselsatteArb,2020,Karmøy,16059,338,291,2470,133,1920,2020,1443,269,194,75,487,883,481,1333,3208,407,107
1151,Begge Kjønn,15-74,SysselsatteArb,2008,Utsira,111,9,0,0,0,9,3,26,9,0,0,0,11,10,10,21,3,0
1151,Begge Kjønn,15-74,SysselsatteArb,2009,Utsira,105,6,0,3,0,11,3,22,3,0,0,3,12,6,9,24,3,0
1151,Begge Kjønn,15-74,SysselsatteArb,2010,Utsira,105,9,0,0,0,10,6,22,6,0,0,3,3,13,9,24,0,0
1151,Begge Kjønn,15-74,SysselsatteArb,2011,Utsira,114,9,0,0,0,9,6,24,3,0,0,0,17,7,12,24,3,0
1151,Begge Kjønn,15-74,SysselsatteArb,2012,Utsira,108,6,0,3,0,7,6,20,3,0,0,3,14,9,11,23,3,0
1151,Begge Kjønn,15-74,SysselsatteArb,2013,Utsira,103,3,0,0,0,13,3,19,7,0,0,3,13,6,12,21,3,0
1151,Begge Kjønn,15-74,SysselsatteArb,2014,Utsira,105,6,0,0,0,10,3,21,6,0,0,0,9,9,13,22,6,0
1151,Begge Kjønn,15-74,SysselsatteArb,2015,Utsira,96,6,0,0,0,12,3,18,3,0,0,0,6,9,10,23,3,3
1151,Begge Kjønn,15-74,SysselsatteArb,2016,Utsira,94,6,0,0,0,9,6,19,0,0,0,3,3,6,9,27,3,3
1151,Begge Kjønn,15-74,SysselsatteArb,2017,Utsira,99,6,0,0,0,6,6,20,3,0,0,0,6,6,13,24,6,3
1151,Begge Kjønn,15-74,SysselsatteArb,2018,Utsira,90,6,0,0,0,9,3,17,3,0,0,0,6,6,17,20,3,0
1151,Begge Kjønn,15-74,SysselsatteArb,2019,Utsira,88,6,0,0,0,3,9,20,0,0,0,0,6,6,12,20,3,3
1151,Begge Kjønn,15-74,SysselsatteArb,2020,Utsira,96,6,0,0,0,6,NA,25,0,0,0,NA,3,6,NA,NA,3,NA
1160,Begge Kjønn,15-74,SysselsatteArb,2008,Vindafjord,4422,678,6,785,94,444,494,213,84,168,20,117,180,158,349,563,49,20
1160,Begge Kjønn,15-74,SysselsatteArb,2009,Vindafjord,4450,658,6,852,88,473,447,194,120,161,25,125,175,151,330,577,51,17
1160,Begge Kjønn,15-74,SysselsatteArb,2010,Vindafjord,4544,649,3,901,80,482,437,207,115,171,19,122,187,166,349,575,49,32
1160,Begge Kjønn,15-74,SysselsatteArb,2011,Vindafjord,4748,684,3,942,76,484,467,201,141,209,15,107,225,177,353,599,46,19
1160,Begge Kjønn,15-74,SysselsatteArb,2012,Vindafjord,4785,623,3,974,74,448,510,195,106,199,16,119,282,181,356,636,46,17
1160,Begge Kjønn,15-74,SysselsatteArb,2013,Vindafjord,4870,571,0,1009,129,465,506,225,71,191,16,126,274,186,369,662,50,20
1160,Begge Kjønn,15-74,SysselsatteArb,2014,Vindafjord,5037,571,7,1050,86,501,497,231,69,144,16,210,324,196,370,693,56,16
1160,Begge Kjønn,15-74,SysselsatteArb,2015,Vindafjord,4971,627,3,1098,43,511,462,315,19,182,17,172,162,184,377,694,61,44
1160,Begge Kjønn,15-74,SysselsatteArb,2016,Vindafjord,4915,633,3,1035,65,504,450,309,23,208,12,136,170,187,372,706,59,43
1160,Begge Kjønn,15-74,SysselsatteArb,2017,Vindafjord,4915,625,3,985,92,544,483,304,21,127,17,182,168,184,378,704,58,40
1160,Begge Kjønn,15-74,SysselsatteArb,2018,Vindafjord,4814,608,3,828,76,569,515,288,19,135,15,187,160,188,386,740,59,38
1160,Begge Kjønn,15-74,SysselsatteArb,2019,Vindafjord,4818,567,3,887,101,555,490,269,23,145,16,209,157,194,370,742,55,35
1160,Begge Kjønn,15-74,SysselsatteArb,2020,Vindafjord,4898,578,NA,887,101,638,475,259,41,149,NA,216,163,177,385,730,50,31
